CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Customer_0,539,Spain,Female,43,9,63750.07,1,1,0,108982.07,0
15634603,Customer_1,670,Germany,Male,36,7,103250.94,2,1,0,169694.62,0
15634604,Customer_2,720,Germany,Female,45,0,0.0,1,1,0,46347.86,0
15634605,Customer_3,605,Spain,Male,56,4,0.0,2,0,0,207158.55,1
15634606,Customer_4,618,France,Male,35,1,0.0,2,1,0,177820.98,0
15634607,Customer_5,722,Germany,Female,35,5,123577.81,1,0,1,157927.96,0
15634608,Customer_6,668,France,Male,56,8,156685.14,2,0,1,51909.79,0
15634609,Customer_7,734,France,Male,47,4,0.0,1,1,1,91761.83,0
15634610,Customer_8,720,Germany,Female,32,3,0.0,2,0,1,58224.81,0
15634611,Customer_9,574,Spain,Male,44,1,160852.88,1,1,0,51486.63,0
15634612,Customer_10,671,Germany,Male,32,2,86765.72,2,1,0,84169.13,0
15634613,Customer_11,707,France,Male,32,5,76260.31,1,0,1,92159.46,0
15634614,Customer_12,583,Germany,Female,40,7,117959.27,3,1,1,79286.33,1
15634615,Customer_13,537,France,Male,18,7,164609.25,1,1,1,101719.28,0
15634616,Customer_14,648,France,Male,18,4,62237.36,2,1,1,147207.15,0
15634617,Customer_15,448,Germany,Female,31,4,153849.78,2,0,1,143511.41,1
15634618,Customer_16,331,France,Male,25,9,0.0,2,1,0,121718.29,0
15634619,Customer_17,707,France,Female,41,2,114675.82,2,1,0,95373.19,0
15634620,Customer_18,577,Germany,Male,27,6,0.0,1,1,0,77532.92,0
15634621,Customer_19,621,Germany,Female,21,5,0.0,1,0,0,116796.23,0
15634622,Customer_20,673,France,Female,55,0,0.0,2,0,0,156191.41,0
15634623,Customer_21,646,France,Male,35,3,0.0,1,0,0,174699.05,0
15634624,Customer_22,576,France,Male,38,5,119427.75,1,0,0,27969.35,0
15634625,Customer_23,838,France,Female,20,10,0.0,2,1,0,95364.04,0
15634626,Customer_24,642,Germany,Female,31,5,178983.42,1,1,1,49381.56,0
15634627,Customer_25,850,Spain,Female,39,10,138378.07,2,1,1,16622.11,0
15634628,Customer_26,559,Spain,Male,24,2,86964.94,1,1,0,165467.34,0
15634629,Customer_27,613,Spain,Female,42,5,0.0,2,0,1,171280.74,0
15634630,Customer_28,652,France,Male,30,9,0.0,1,1,0,88796.4,0
15634631,Customer_29,657,France,Male,34,5,61930.95,2,0,1,73819.81,1
15634632,Customer_30,745,France,Male,30,8,168505.53,2,1,1,78515.46,0
15634633,Customer_31,426,Germany,Male,60,8,125647.57,2,1,1,10000.0,0
15634634,Customer_32,796,France,Female,37,1,26707.92,1,1,1,162228.47,0
15634635,Customer_33,470,France,Female,25,3,100974.16,1,1,1,72565.51,1
15634636,Customer_34,575,France,Male,47,8,0.0,2,1,1,86911.69,0
15634637,Customer_35,654,France,Male,23,3,35959.31,2,0,0,117038.57,0
15634638,Customer_36,689,France,Male,40,7,114971.28,1,0,1,10000.0,1
15634639,Customer_37,630,France,Male,18,9,0.0,1,1,0,100993.09,0
15634640,Customer_38,604,Spain,Female,22,2,0.0,1,0,0,107479.93,1
15634641,Customer_39,650,Spain,Female,40,2,127269.79,2,0,0,68381.06,0
15634642,Customer_40,611,Germany,Male,46,8,85424.1,1,1,1,221337.84,0
15634643,Customer_41,754,Spain,Male,40,10,0.0,2,0,0,31058.82,0
15634644,Customer_42,716,France,Male,36,9,0.0,2,1,1,127134.88,0
15634645,Customer_43,692,France,Male,34,7,0.0,1,1,1,41122.73,0
15634646,Customer_44,748,Spain,Female,20,0,83539.05,1,1,0,115603.71,0
15634647,Customer_45,683,Germany,Male,29,9,0.0,1,1,1,37031.36,0
15634648,Customer_46,627,Spain,Female,32,1,144852.49,1,1,0,153530.51,0
15634649,Customer_47,495,France,Female,50,2,46027.89,1,1,1,119855.68,0
15634650,Customer_48,828,France,Female,42,10,66211.99,2,1,0,10000.0,0
15634651,Customer_49,757,France,Male,18,1,0.0,3,0,1,108023.23,0
15634652,Customer_50,533,Spain,Male,41,2,0.0,2,1,1,70286.8,0
15634653,Customer_51,720,Germany,Male,33,7,0.0,2,1,1,90999.9,0
15634654,Customer_52,694,Germany,Female,29,10,0.0,1,0,1,10000.0,0
15634655,Customer_53,559,Germany,Male,45,10,0.0,1,1,0,179679.91,0
15634656,Customer_54,782,Spain,Female,50,5,17963.46,2,0,0,45186.65,0
15634657,Customer_55,665,Germany,Male,49,6,47830.74,2,1,1,86420.95,0
15634658,Customer_56,539,Spain,Male,27,9,98637.23,2,0,0,49721.09,0
15634659,Customer_57,533,France,Male,34,9,83660.63,2,1,1,85755.31,0
15634660,Customer_58,689,Spain,Female,41,5,0.0,2,1,0,93586.75,0
15634661,Customer_59,558,France,Female,49,0,119227.69,1,1,0,95158.94,1
15634662,Customer_60,579,France,Female,32,10,158604.35,2,1,1,180128.14,1
15634663,Customer_61,690,France,Male,35,2,0.0,2,1,0,94215.91,0
15634664,Customer_62,586,Germany,Male,24,0,150832.71,1,1,1,190880.49,0
15634665,Customer_63,604,Spain,Female,23,9,56010.9,1,1,1,19263.34,0
15634666,Customer_64,574,Spain,Male,47,8,0.0,1,0,0,167866.76,0
15634667,Customer_65,714,Spain,Male,54,8,0.0,2,1,1,156145.06,0
15634668,Customer_66,768,Spain,Male,37,4,145427.45,1,1,0,162374.32,0
15634669,Customer_67,486,France,Female,50,3,0.0,1,1,0,221698.25,1
15634670,Customer_68,555,Germany,Female,42,8,0.0,1,0,0,10000.0,0
15634671,Customer_69,434,France,Male,30,8,110415.02,1,1,1,10000.0,1
15634672,Customer_70,662,France,Male,42,2,76155.96,2,0,1,103243.09,0
15634673,Customer_71,669,France,Female,56,4,0.0,2,1,1,10000.0,0
15634674,Customer_72,558,France,Female,37,2,81683.55,4,0,0,10000.0,1
